objid ra dec u g r i z
1237667211061428338 172.248783154785 29.016977490102 21.39419 20.51138 20.20059 20.09388 20.23998
1237667211061429267 172.221763553627 29.0183213925301 25.29737 25.30601 25.04325 22.31523 23.10095
1237667211061428650 172.210561168824 28.9696136908014 23.07155 23.1043 24.34749 22.62903 22.145
1237667211061428660 172.212228454625 28.9698510209076 23.30402 23.4077 23.74131 23.28109 22.04665
1237667211061428712 172.235144561811 28.9671820349401 24.33958 21.3754 19.74941 19.00416 18.49835
1237667211061494736 172.369480184003 29.0093206209201 23.40878 24.39872 25.6672 22.32587 23.75194
1237667211061494090 172.369967527838 29.0236005393859 25.47464 23.06736 23.54804 22.61952 23.56167
1237667211061494106 172.377099409577 29.0230302988427 23.56545 23.13357 22.89955 22.47577 21.66122
1237667211061494136 172.386704992373 29.0307274729142 23.09132 22.22349 21.89649 21.45578 21.82044
1237667211061428989 172.313453285795 29.0264308006407 24.64877 23.01266 23.52703 24.18897 22.98672
1237667211061428980 172.312894743546 29.0201092678898 24.63217 23.10862 22.62322 22.32362 22.88585
1237667211061429336 172.33763313191 29.0488597564917 24.16984 25.57298 24.93523 23.02515 20.5669
1237667211061428267 172.287587008151 28.9988666325561 19.21958 18.27458 18.18419 18.18944 18.25877
1237667211061428296 172.342019220381 28.9844960061822 23.83827 24.40714 22.70064 22.46358 23.12905
1237667211061428343 172.268720465104 28.981881814594 21.50109 19.7813 18.99036 18.72156 18.48885
1237667211061428345 172.273348881432 28.9793481375928 22.89978 20.19407 18.73562 17.78162 17.24059
1237667211061428466 172.330328966305 28.9970813680324 23.75252 20.75128 19.32585 18.18194 17.55282
1237667211061428467 172.327993581083 28.9991912445577 21.99656 20.9403 20.49113 20.27852 20.22353
1237667211061428468 172.329275162295 28.9975209978189 22.21655 20.88816 20.54682 20.42703 20.59953
1237667211061428525 172.286764366189 28.9702199012596 22.25124 20.41883 19.62239 19.39375 19.10927
1237667211061428527 172.290603866727 28.9685399210799 24.00758 22.65981 22.06554 21.95214 21.59253
1237667211061428529 172.289952965803 28.9676028090411 25.33012 23.47813 24.42942 24.75321 22.10135
1237667211061428532 172.293664407121 28.9755734346598 22.34382 20.61871 19.87098 19.61383 19.3481
1237667211061428533 172.291855236143 28.9734479098742 22.36205 21.09223 20.39614 20.17532 19.941
1237667211061428534 172.293104316064 28.9741311026804 22.28526 21.10647 20.54878 20.38251 20.95202
1237667211061428535 172.294866997128 28.9770667678365 23.1193 23.68435 22.76722 22.77803 21.80661
1237667211061428536 172.297641667377 28.9758015679288 21.94271 20.79025 20.24788 20.16208 19.98302
1237667211061428781 172.254031273266 28.9916126912156 24.06867 23.40388 22.91877 22.63018 22.95296
1237667211061428782 172.252826641857 29.0063031628907 25.23889 22.37286 21.16535 20.5558 20.25026
1237667211061428801 172.265062884798 28.969891648948 23.83044 23.60417 24.06459 24.25616 24.11184
1237667211061428803 172.263267623012 28.9872590081275 24.69385 23.1971 22.57357 22.12334 23.22714
1237667211061428835 172.271373838167 29.0054192115491 24.12427 23.00634 21.39727 20.50121 20.11585
1237667211061428862 172.277201707194 29.0188858666723 24.66076 23.39512 25.64148 23.83801 22.30838
1237667211061428863 172.282732478914 28.9764455593029 23.67225 23.32321 23.6766 23.61178 21.82648
1237667211061428999 172.318493122763 28.9964674604851 24.46139 23.53615 23.73999 23.25007 22.65289
1237667211061429008 172.32467569714 28.9829870544387 24.64943 24.62985 22.7107 23.44615 22.56628
1237667211061429012 172.322766449664 29.0053095359462 23.16909 21.75649 21.11752 20.96517 20.76225
1237667211061429015 172.323938753424 28.9867973459183 23.05164 21.65087 20.98798 20.90974 20.88923
1237667211061429021 172.326295355013 28.9812876813423 25.23187 23.47417 22.87005 23.30231 21.6746
1237667211061429024 172.326443554477 28.9851654640196 23.82903 22.27011 21.67559 21.5094 21.74449
1237667211061429108 172.346607384025 28.9867599295447 23.33823 22.94084 23.28759 22.51438 21.64215
1237667211061429175 172.223311685638 28.9776033033159 24.42781 24.94024 22.97944 25.22593 22.42508
1237667211061429187 172.247155029476 28.9867173329159 24.75037 23.56039 22.95386 21.8872 21.53875
1237667211061429188 172.246735591307 28.9877879603331 24.82514 24.73257 22.71279 21.88823 21.33899
1237667211061429195 172.26238489532 28.9848477420672 25.53388 23.46772 22.23288 22.25725 20.9816
1237667211061429197 172.271897629414 29.0006271953347 23.94511 23.84585 22.40073 21.40136 20.71523
