objid ra dec u g r i z
1237651495754401270 114.498343861283 38.8230959492154 24.80656 23.36506 22.75981 22.24616 22.42588
1237651495754400832 114.499519062344 38.8158322130989 23.36649 22.69432 22.13631 22.10761 21.62376
1237651328250675314 114.523604295697 38.8304591857158 24.6354 21.60199 20.45742 20.21923 20.17922
1237651328250676133 114.516788643882 38.8296392546934 22.86037 22.7435 22.28315 22.53403 21.67395
1237651328250676150 114.517255324607 38.8342491626916 25.00299 22.88211 22.68303 22.80357 21.68679
1237651328250676148 114.522291138346 38.834869822776 23.47004 21.42732 20.83804 20.5757 20.58435
1237651495754400846 114.49072481543 38.8235107416177 22.62164 20.8794 20.2495 19.97094 19.83122
1237651495754400820 114.471332332933 38.8227943529739 24.01505 22.53292 22.22059 21.62549 22.28499
1237651495754400438 114.472434612249 38.8274074401114 22.31714 25.18503 24.25682 24.61492 22.92458
1237651495754400437 114.484707314348 38.8211447805261 22.35834 20.91921 20.31137 19.98441 19.74957
1237651328250675378 114.502851154684 38.8619553758787 19.13802 17.02081 16.13821 15.83532 15.67201
1237651328250676503 114.496781757283 38.8400630262364 26.18566 24.60396 22.88745 21.9747 20.2176
1237651272953627304 114.454474727611 38.8383500742361 23.08049 21.81707 21.17803 20.82041 20.77971
1237651272953627309 114.468956429793 38.8392520568336 23.34107 22.90655 21.90784 21.56109 21.65224
1237651328250675849 114.493392058104 38.8392834892995 21.89019 20.72525 20.14006 19.86229 19.63458
1237651328250676123 114.485883383217 38.8369183314057 24.24739 21.99152 21.46747 21.13183 21.41305
1237651328250675309 114.55701615237 38.8083322956848 21.17763 19.7479 19.07079 18.76045 18.71368
1237651328250675308 114.557856706239 38.8091051705253 20.78463 18.80441 18.08992 17.83915 17.72317
1237651328250676151 114.559263573067 38.8146814291948 22.94643 22.3952 21.69288 21.6052 21.56592
1237651272953626756 114.474777124557 38.9335869642619 21.80196 18.29659 17.23414 16.79285 16.50528
1237651272953627166 114.49122152612 38.9513019477784 22.83249 20.91296 19.49053 18.14878 17.4014
1237651328250675303 114.572169893559 38.8012838545532 18.17414 17.24739 16.87701 16.71523 16.65987
1237651328250675304 114.574177797629 38.8008488586796 23.40179 22.87191 21.69311 21.9719 21.19222
1237651328250675307 114.561267332323 38.8087665721349 18.82129 17.74282 17.45838 17.3807 17.40563
1237651328250675834 114.55333130173 38.8071392277291 21.1515 20.8838 20.60142 20.57821 20.65327
1237651328250676113 114.596254775302 38.7848423620271 22.27426 21.31129 20.64882 20.40349 20.12418
1237651328250676114 114.552470726478 38.8044398987341 23.5452 22.21751 21.78472 21.67629 21.60458
1237651328250676118 114.585724100118 38.7909104987668 22.94428 22.09706 20.3981 19.5723 19.17382
1237651328250676119 114.586992030158 38.7906870001445 23.5364 21.13871 20.22713 19.92949 19.74963
1237651328250676124 114.549189532565 38.8093734349665 24.66147 22.6262 22.9239 22.04125 21.84407
1237651328250676127 114.548027671473 38.8122592007621 23.61412 22.22554 20.6345 19.58639 19.03799
1237651328250676132 114.544810726616 38.8168755781196 22.93177 21.91954 21.39736 21.07283 21.08027
1237651328250676136 114.548592055062 38.8164386476595 25.19923 22.08077 21.58422 21.16653 20.79802
1237651328250676139 114.570602551938 38.8088670185876 24.24414 22.37237 21.42792 21.02932 20.82642
1237651328250676141 114.556664245498 38.8152405723147 23.43752 21.77882 20.97624 20.95319 20.478
1237651328250676342 114.533745423159 38.8107137194865 23.82138 23.06268 21.9043 22.23421 22.1446
1237651328250676345 114.53928560147 38.8167573482326 24.75547 22.92446 21.74814 21.6353 22.7626
1237651328250676486 114.57090017059 38.7975658172604 23.4949 23.08287 22.95695 21.96322 22.34896
1237651495754400226 114.555199414843 38.7651929901922 20.16173 19.12962 18.8231 18.70377 18.61247
1237651495754400229 114.552738361542 38.770679142426 20.67818 18.1515 16.96221 16.4869 16.24261
1237651495754400233 114.51063312666 38.7952691688563 24.71995 22.75579 21.11076 20.26935 19.72964
1237651495754400234 114.5112408352 38.7959338943594 23.34988 19.78324 18.25468 17.22559 16.65939
1237651495754400243 114.563855497355 38.7765027625086 22.1959 19.4375 18.026 16.83008 16.19341
1237651495754400244 114.565380436105 38.7777707808198 21.61641 20.47129 20.47444 20.53737 20.59661
1237651495754400286 114.534545386822 38.7615441888141 23.69104 20.73105 19.23865 18.11292 17.537
1237651495754400288 114.562195392673 38.7507224559094 25.696 21.17876 19.56456 18.45438 17.89011
