objid ra dec u g r i z redshift
1237665442056700146 205.46532957885 28.4327709645659 15.56573 14.15378 13.44842 12.8033 13.91193 -0.0005150668
1237665442056701438 205.474480204818 28.5026140382628 22.70613 22.80951 20.90772 19.78933 19.3445 0.5690873
1237665442056701004 205.480251150112 28.5216355917726 25.03433 22.33573 20.57132 19.58577 19.41777 0.5071079
1237665428630602308 205.146485182402 28.4205528414806 23.95561 22.70011 21.18982 20.01934 19.47338 0.7176834
1237665428630602372 205.17741951488 28.4500040250128 22.35385 21.60679 19.96143 19.14913 18.7015 0.4626713
1237665428630602450 205.182850917143 28.3665331925124 25.5693 22.11223 20.53071 19.71167 19.31101 0.4641671
1237665428630667912 205.269563286885 28.3436064692832 21.64019 19.31828 17.87537 17.36169 17.00058 0.2326199
1237665428630669664 205.332784686065 28.2896229670739 22.50405 21.69044 19.92887 18.97257 18.62659 0.5337915
1237665428630670055 205.295885471045 28.2329348110659 22.12071 22.26301 20.75095 19.62674 19.232 0.5847912
1237665428630863915 205.782558605382 28.20862096571 24.26073 22.14232 20.30632 19.41427 19.09844 0.4619996
1237665428630864247 205.809347523965 28.2768009187885 18.98913 17.95838 17.53869 17.29936 17.12549 0.05472903
1237665428630864376 205.917369762329 28.3253948176577 17.97873 16.04992 15.12025 14.70779 14.36828 0.07546844
1237665428630864388 205.912505367932 28.3046408194636 20.1009 18.72947 17.64408 17.16595 16.84958 0.2142489
1237665428630864391 205.915423047605 28.2895190715288 21.09597 19.19051 17.86825 17.32153 16.93974 0.2143154
1237665428630864946 205.792078614909 28.2867116640697 23.78325 22.26002 20.68195 19.74427 19.55432 0.5019987
1237665428630865171 205.854538743185 28.2662129241914 22.60273 21.68681 19.65321 18.70775 18.22311 0.5019745
1237665428630929486 205.921528649417 28.2527265706187 19.36 17.53503 16.56297 16.13894 15.79596 0.1145778
1237665429167538300 205.384128901799 28.7251666568156 19.71898 18.4534 17.82411 17.47756 17.23694 0.09812746
1237665429167538325 205.399005970614 28.7028152170858 19.68608 17.57557 16.57958 16.12564 15.78334 0.09721901
1237665429167538962 205.413989047102 28.6462315245003 24.33639 22.34761 20.73938 19.778 19.17073 0.4929432
1237665429167603852 205.493349550839 28.7271420403703 23.9024 22.14796 20.42407 19.54806 19.1136 0.4744538
1237665429167603890 205.497160356265 28.6166602836126 24.71546 22.90877 21.03921 20.08138 19.66055 0.5326201
1237665429167604476 205.535042990534 28.6761598360304 26.09838 22.05711 20.24601 19.42457 18.97995 0.4868491
1237665429167669828 205.670975079874 28.6021165931905 26.35078 22.56932 20.8699 19.72459 19.25486 0.5712004
1237665441519829121 205.371519650259 28.0787878829114 23.5525 21.87013 20.34173 19.4662 19.17881 0.4695269
1237665441519829357 205.337539800518 28.0990244173924 23.77247 20.5853 18.88438 18.31399 17.99708 0.3339808
1237665442056832306 205.78652791576 28.3876694787019 19.13779 17.11845 16.23657 15.7864 15.48404 0.0757658
1237665442056833077 205.730882733111 28.4569383645176 24.20201 21.18907 19.40989 18.76443 18.34238 0.3801523
