objid ra dec u g r i z redshift
1237665531187429776 242.544702428363 15.0931289184255 17.83788 16.73028 16.27343 15.94591 15.75492 0.0
1237665567692882077 242.920819705038 15.1247628847259 24.65637 17.0271 16.24747 15.89152 15.69663 0.07763784
1237665567155945933 242.594887627652 14.772262656452 19.93332 18.13483 17.12679 16.71512 16.40241 0.13222
1237665567156011357 242.732599831285 14.7262023794523 19.30222 17.34468 16.22999 15.75967 15.40779 0.1452814
1237665530650690856 242.660299915085 14.5497861515462 22.87793 22.37632 20.83122 19.81504 19.40235 0.5791208
1237665548901876642 242.990844600418 15.0031613556516 23.66384 22.32512 21.10065 19.96537 19.60732 0.6407128
1237665567155945908 242.580449411534 14.7730698482831 19.67087 18.11563 17.13381 16.68428 16.35038 0.1330566
1237665567155945954 242.600033595151 14.7635375737285 19.539 18.30261 17.5636 17.16737 16.93161 0.1294865
1237665567692948711 242.962771310456 15.0797193791316 22.07506 22.3524 20.79675 19.45012 18.56937 0.7695738
1237665567692686342 242.441637604392 15.268270598286 24.14707 21.56549 19.7397 18.68366 18.20107 0.5908538
1237668337398120733 242.3539451988 14.7767247080657 18.87191 17.39279 16.5564 16.11161 15.78667 0.07697715
1237668337398383774 242.906859607103 14.567657145311 23.0732 22.95258 21.1798 20.01748 19.52321 0.5250916
1237665531187298702 242.243693187102 15.1001472098237 19.66568 17.9607 17.02643 16.54515 16.12426 0.05867009
1237665531187298713 242.233744586683 15.0623903173373 18.94326 17.52819 16.75136 16.27785 15.90275 0.05908213
1237665531187365029 242.42837410525 15.161945127088 23.36394 21.90208 20.12756 19.22447 18.8377 0.4572685
1237665531187692017 242.986482065107 14.8038537159721 22.19145 20.36255 18.62449 18.01507 17.6274 0.3043514
1237665531187757715 243.249869043088 14.8320825487581 20.89843 20.42099 20.18442 19.56747 19.31865 0.6107689
1237665531724432785 243.052398068307 15.3718549395407 23.48528 21.69595 20.00655 19.20356 18.74192 0.4763872
1237665530650558809 242.403353264576 14.6700133318972 19.19466 17.79329 17.38961 17.14659 16.96956 0.03167598
1237665530650558899 242.35542629517 14.6582611166667 21.71698 19.7776 17.99945 17.34436 16.98835 0.380742
1237665530650624337 242.483805727668 14.5979175735537 17.91125 16.44384 15.69955 15.26363 14.98498 0.07655488
1237665530650625031 242.518404594052 14.6066345975116 22.45524 21.52381 20.32171 19.4228 19.00447 0.6524861
1237665530650689805 242.57878906365 14.5575410001831 19.18629 18.10654 17.49599 17.10446 16.8858 0.08073085
1237665531187495354 242.675256546856 14.9800219943613 18.55276 17.59232 17.19832 16.96563 16.8749 0.04597939
1237665531187495369 242.688293359429 14.9998375902848 18.41933 16.62846 15.80046 15.41713 15.09186 0.04530673
1237665531187561448 242.721892791316 14.9362900652107 22.38465 21.81359 19.96174 19.09785 18.72202 0.4681948
1237665531187561747 242.795415385949 14.9649689863163 21.63221 21.29304 20.13242 19.37951 19.05698 0.4686854
1237665531187561765 242.784213383554 14.9267446871635 25.87799 21.40334 19.4624 18.77616 18.246 0.4380462
1237665531187626809 242.899260381931 14.9497078861674 23.94527 21.72906 20.10503 19.20023 18.72176 0.4692194
1237665531187626829 242.892142027725 14.9184909589354 23.68292 21.90434 20.14722 19.35298 18.90973 0.443159
1237665531187757874 243.175903389951 14.8079353528644 26.58182 21.63893 20.07148 19.28852 18.8986 0.4654326
1237665531724300724 242.675106620852 15.4024447463245 19.96455 18.14079 17.18405 16.74017 16.39234 0.07700007
1237665531724366712 242.794334103194 15.4172709710022 25.63357 22.25649 20.68174 19.64654 19.10056 0.6187855
1237665531724497194 243.078161549144 15.273272522234 20.10476 18.25891 17.1921 16.77678 16.40673 0.1328543
1237665531724497385 243.142359146965 15.1851166615248 22.61805 22.0874 20.37295 19.05808 18.45905 0.6391706
1237665531724498132 243.130868777419 15.2301829452002 26.76493 21.75345 19.96842 19.16616 18.81989 0.4265895
1237665548902007749 243.256475630907 14.8622748683586 25.9322 21.71369 20.3454 19.41863 18.92401 0.5412968
1237665567155815944 242.334569084246 14.9631126156685 24.99975 22.40865 20.66676 19.24228 18.63766 0.6561589
1237665567155880077 242.414540161188 14.8169227761932 17.68226 16.28816 15.76536 15.59134 15.51083 0.0001168168
1237665567155880163 242.381569811408 14.9233785403568 24.20263 20.72507 18.90248 18.27419 17.89754 0.3392422
1237665567155880236 242.373320848658 14.7917313178949 19.98697 18.29042 17.36128 16.89597 16.55684 0.07552279
1237665567155880475 242.444814850962 14.8375188114811 26.17271 20.65796 18.88705 18.20113 17.91593 0.3727858
1237665567155880883 242.406329343542 14.8365807257167 21.69968 21.39134 19.87402 19.05697 18.60328 0.5289226
