objid ra dec u g r i z redshift
1237668270822916223 197.92315896412 18.505911014132 20.37457 18.62516 17.56894 17.15414 16.86613 0.1505328
1237668270823178311 198.569126928739 18.4755523164418 20.77213 18.5253 17.18187 16.70427 16.38477 0.2312856
1237668296598814875 197.791653500773 18.3190701852872 19.99977 18.25689 17.30276 16.85422 16.52838 0.1790493
1237668296598880493 197.967024127077 18.4292337090571 20.22743 18.502 17.57465 17.09116 16.73699 0.1077904
1237668296598880512 198.00221073737 18.4579351134939 18.73499 17.55813 16.85761 16.45974 16.23144 0.1468069
1237668270822851118 197.858733967505 18.5432398728672 22.01391 21.25311 19.83869 19.05472 18.58211 0.4620281
1237668270822981694 198.10383902476 18.5267720316423 18.88265 17.05729 16.18727 15.77374 15.43172 0.08156976
1237668270822982029 198.113646777579 18.5629978145371 23.01861 22.60243 20.79717 19.76059 19.25961 0.5603769
1237668270823047288 198.286553825928 18.5762667805964 21.10656 18.93109 17.63557 17.16073 16.77977 0.2129122
1237668270823112787 198.422373955338 18.4844808633275 20.41267 18.65256 17.64042 17.1892 16.83694 0.1428351
1237668270823113175 198.441434006386 18.4672947308956 23.11455 21.77359 20.21499 19.2289 18.77167 0.554019
1237668270823178380 198.70340368219 18.4306272330806 19.10702 17.77434 16.69965 16.21706 15.85962 0.1930434
1237668296598814805 197.818426342918 18.2838254262053 20.38032 18.56988 17.49642 17.01831 16.65876 0.1604755
1237668296598814844 197.891663511634 18.3319472105076 19.12176 17.38753 16.62253 16.25223 15.98344 0.09510807
1237668296598815329 197.899971892136 18.3473949807572 22.69751 20.65842 18.93038 18.35833 17.96775 0.3421397
1237668296598880534 198.038205483658 18.4642903120302 19.76303 18.38225 17.71047 17.32711 17.09825 0.09576859
1237668296598880566 198.071282251733 18.3915657068408 19.68182 17.62976 16.50935 16.07306 15.72236 0.1458049
1237668296598880927 197.995779033217 18.3327777424658 23.98979 22.12107 20.13304 19.27088 18.7719 0.453105
1237668296598947356 198.087761732828 18.4129520103857 25.73672 21.9728 20.38556 19.28134 18.80321 0.613838
1237668296599011563 198.336583460304 18.2839945772801 19.15932 17.87688 17.04484 16.59897 16.29695 0.1473718
1237668296599012973 198.29597614174 18.4387775195052 25.71697 22.48707 20.72601 19.68556 19.29012 0.5418592
1237668296599142522 198.673409524466 18.3211158931477 18.73676 17.62245 17.13086 16.7705 16.58262 0.08630919
1237668296599142815 198.610104515256 18.2780201251277 22.68219 21.51438 20.30924 19.50646 19.01191 0.5091791
1237668591338979461 197.81196343882 18.0953012867944 19.34995 18.06962 17.4204 17.04071 16.75267 0.09486046
1237668591338979966 197.853387701913 18.0939768397136 26.55701 22.81906 21.21532 20.12997 19.68269 0.6739298
1237668591339242848 198.345454495089 18.0557327983021 26.90957 22.92067 20.74471 19.7901 19.33399 0.5419707
1237668591339307018 198.499560504349 18.0059258349252 22.94566 21.0762 19.15289 18.37319 18.06714 0.4462115
1237668625165386184 197.999910956228 17.7778669794698 25.82416 21.79826 20.34356 19.55287 19.13139 0.480432
1237668625165386333 198.06276531582 17.9111852014084 24.36517 22.00297 20.50992 19.55988 19.08315 0.4846683
1237668625165451359 198.156524717822 17.7720930306807 20.42655 18.40748 17.3867 16.92103 16.59866 0.118544
1237668625165451851 198.218917420758 17.8673279677414 24.08737 22.07322 20.33306 19.3749 19.00135 0.4899341
1237668625165516945 198.403248540611 17.7579112849399 20.33411 18.23286 16.79033 16.25848 15.97959 0.2312167
1237668625165516971 198.455977810926 17.8639243526825 19.40319 18.24308 17.68984 17.36666 17.19608 0.09739936
