objid ra dec u g r i z redshift
1237661951321833929 169.760603857868 13.2163763426762 23.12212 22.57953 21.1614 20.0222 19.41185 0.6802769
1237661951321768641 169.675998360572 13.2103160760214 22.51043 23.07455 20.63266 19.61554 19.02749 0.5253407
1237661951321833514 169.727049011272 13.1241141545059 20.56637 18.73927 18.12313 18.48699 17.65109 0.001906541
1237661068182815286 169.286854988671 13.3275416600926 23.68139 22.27079 20.64925 19.56684 19.18237 0.6372954
1237661068183011568 169.812831065647 13.2789593274974 25.42751 20.46686 18.68291 18.00712 17.59188 0.4052936
1237661951321768138 169.681321935817 13.1277259787475 20.83284 18.95701 17.55207 17.06433 16.71791 0.2358118
1237661951321768385 169.649017840214 13.201187563628 25.69096 21.2997 19.51872 18.82977 18.43104 0.4029134
1237661951321768397 169.657543178785 13.1663833980271 22.37525 21.66367 19.8565 18.87349 18.42323 0.5055652
1237661068182749379 169.264127860365 13.2448472767747 20.30437 18.40398 17.50873 17.12056 16.80184 0.07900722
1237661068182814922 169.288476377959 13.3564502083055 18.95106 17.17893 16.21141 15.82308 15.46046 0.1153355
1237661068183012015 169.886048771157 13.3835710109549 25.46923 22.16275 20.6478 19.82092 19.34617 0.4604346
1237661068183207951 170.229453660357 13.2734750394374 25.39574 22.87553 21.13855 20.11629 19.45214 0.6335945
1237661813878816822 169.331317672444 12.9600405291547 18.03097 16.68707 16.20587 16.00446 15.77481 0.02011247
1237661950784897116 169.680562785005 12.7287017754463 20.15091 18.13577 17.0997 16.63154 16.27256 0.1265463
1237661950784963316 169.84069588033 12.7281487624889 24.23566 23.0716 21.25618 19.99996 19.52768 0.679301
1237661950785028475 169.933089923863 12.762386869873 25.84822 22.2065 20.60048 19.6016 19.08368 0.5757166
1237661068182750007 169.244809593231 13.3661493414149 23.71065 20.65829 18.83396 18.09636 17.66966 0.4139277
1237661068182750015 169.254195385432 13.279468445192 26.02768 21.40669 19.72984 18.91452 18.48374 0.4705807
1237661068182814970 169.374420931771 13.3640234820298 21.13059 18.7033 17.54256 17.04011 16.6488 0.1738384
1237661068182814987 169.417170635518 13.2587233486121 20.10233 18.15273 16.90866 16.42765 16.0716 0.1726569
1237661068182945920 169.654096161991 13.3186335417616 20.10763 18.17926 17.11328 16.67937 16.33161 0.1480228
1237661068182945937 169.675016159531 13.3341854102344 19.54844 18.37641 17.84987 17.56725 17.36516 0.1482709
1237661068182945966 169.617690227582 13.2818364489266 20.07779 18.27926 17.31448 16.79418 16.37434 0.127144
1237661068182946537 169.696258657878 13.3109104089374 22.61405 21.296 19.68252 18.89651 18.53949 0.4724871
1237661068183011765 169.756302372703 13.3260418164627 25.37747 22.16409 20.8256 19.77373 19.22448 0.5232462
1237661068183076917 169.989339515043 13.4292924189355 18.61708 16.57336 15.59529 15.15593 14.78311 0.08461741
1237661068183076996 170.028213753745 13.4093116719104 19.2002 17.44593 16.53491 16.0412 15.67017 0.07902488
1237661068183142902 170.095965494021 13.2581676973746 23.64583 20.66136 18.94872 18.36724 18.00826 0.366985
1237661068719882371 169.769235931983 13.6800534115055 19.69901 17.96486 17.23403 16.83529 16.48964 0.07020553
1237661813342077067 169.719820690241 12.6778745392724 20.92682 18.90966 17.52335 17.02711 16.66278 0.2371004
1237661813878816864 169.427059138918 13.0842592130865 23.85745 23.11437 20.49034 19.4515 18.89432 0.5206808
1237661813878882361 169.481456452412 12.9808835780224 20.97973 19.07125 17.76714 17.26281 16.91118 0.2004654
1237661813878882405 169.605738090825 13.0392309054771 20.9167 18.70398 17.5587 17.12826 16.777 0.1455769
1237661813878882833 169.581013561725 13.0876041368425 24.49167 23.12387 21.19432 20.34341 19.93011 0.6001909
1237661813878947973 169.633355563694 13.0919390479689 19.43627 18.08556 17.35319 16.95877 16.67157 0.1023187
1237661813878948217 169.714583103111 12.955384910923 26.22394 21.81458 19.98765 19.12012 18.63569 0.5041144
1237661813878948312 169.726594238739 13.0402855282415 24.24549 23.07535 20.59696 19.74061 19.42427 0.5054836
1237661813879013770 169.863687122799 13.0209053945978 22.34243 21.98071 20.4881 19.79222 19.40014 0.4726889
1237661813879013919 169.806614343584 13.0990170633012 25.7188 22.6595 21.1737 19.89817 19.4812 0.693275
1237661813879144533 170.081507305621 13.096629187145 19.65917 18.00714 17.06569 16.63262 16.30888 0.1273229
1237661950784831597 169.571750387491 12.9017720045823 19.90981 18.14192 17.32687 16.958 16.71194 0.1141505
1237661951321637411 169.398530101354 13.2032719774272 23.35252 22.52059 20.83366 19.92763 19.50746 0.4669867
1237661951321964677 170.159654543843 13.1714657811714 20.94257 19.32729 17.9587 17.44702 17.18108 0.2068245
1237664130484797553 169.556412010664 13.4706968970408 18.73435 17.3221 16.67027 16.31836 16.05285 0.06870065
1237664130484797576 169.505249138398 13.4310126869623 20.12638 18.48562 17.39358 16.91822 16.52527 0.1663448
1237664130484928857 169.763486475727 13.5397953806454 24.20177 21.51779 19.87917 18.90025 18.44539 0.5317827
1237664130484929182 169.863854459662 13.5261814149712 26.05754 24.08899 22.02293 20.60859 19.71052 0.0
1237664130484994438 169.94238161956 13.4873400220525 22.93966 21.08564 19.26376 18.56436 18.12925 0.4068079
1237661068182814790 169.317075049632 13.2337678815076 20.31327 19.22521 18.56215 17.47922 17.1939 -0.0001350719
1237661068182814848 169.414081422137 13.3756029091668 19.06586 17.10365 16.28467 15.93554 15.62156 0.04703936
1237661068182814849 169.410730630612 13.3759713252482 17.3633 15.80889 15.00139 14.58566 14.29798 0.04821527
