objid ra dec u g r i z redshift
1237661951329370270 187.474866860227 13.6680668720473 20.18744 18.65669 17.78347 17.31311 16.98517 0.1444855
1237661951329370571 187.511145605682 13.6938385439776 22.57608 21.12995 19.4591 18.85467 18.40659 0.3675811
1237661951329370267 187.468151791521 13.7114496445216 23.64127 22.08789 19.97755 19.12338 18.60431 0.4674124
1237661951329370422 187.436661871624 13.5817304027639 21.67113 20.40611 18.7011 17.86736 17.4373 0.4372898
1237661951329370424 187.437343491661 13.5854157143043 25.3304 22.14683 20.38013 19.58124 19.15944 0.4390516
1237661951329435708 187.576545764204 13.5776390375335 14.72861 12.97334 12.21376 11.82786 11.53911 0.0028272
1237661068190679616 187.903092298548 13.8247243880837 22.69387 20.41833 19.02174 18.21173 17.93588 0.4918385
1237661813886353551 187.082772669865 13.5282961843097 19.37871 17.98525 17.13885 16.71938 16.47799 0.1637147
1237661951329370295 187.421725015504 13.693526718579 21.8002 19.67378 18.12164 17.5764 17.24238 0.2669942
1237661951329370373 187.411755693661 13.576555548369 21.86703 21.17671 19.94975 19.32358 19.01298 0.4343366
1237664289392558174 187.358755396851 14.0385885149376 20.23148 18.32582 17.33678 16.91994 16.60507 0.09959765
1237661068190679515 187.847100284393 13.9170949554492 25.61834 21.4601 19.67492 18.70288 18.32206 0.5106748
1237661068190679545 187.865665465741 13.8985545923524 24.37152 22.3629 20.82955 19.78762 19.61844 0.5118111
1237661068190745028 187.93505278215 13.8154251973799 25.83257 21.73398 19.99433 19.15511 18.55156 0.4880882
1237661813886354010 187.094635046768 13.4731440003646 24.00519 22.21326 20.46239 19.54893 19.19644 0.4980464
1237661950792565160 187.601989317473 13.2137645595853 24.38157 21.73449 20.28167 19.39737 19.02081 0.5393235
1237661950792565323 187.65290469683 13.2236977895686 21.99424 20.63301 18.96025 18.32287 17.91268 0.3899851
1237664289392558115 187.276901296863 14.004914689905 21.31899 17.22395 16.50707 16.05099 16.39254 -0.001465064
1237664289392558172 187.378740092897 14.049083991168 15.10845 13.37687 12.63769 12.27414 11.99746 0.00296556
1237661068190352377 187.085933725116 13.8328397472212 24.38863 22.77617 21.10267 19.92511 19.8857 0.5745949
1237661068190416933 187.229251790185 13.7908265069914 17.33276 15.46742 14.56404 14.16635 13.80019 0.04375862
1237661068190417267 187.202201520532 13.8865543437621 25.0148 22.56162 20.74094 19.62817 19.09791 0.5731384
1237661068190417496 187.187567692143 13.780949174868 23.18505 21.7816 20.54834 19.71799 19.09301 0.4829338
1237661068190417518 187.195255649705 13.8317783197849 24.20747 21.86831 20.60403 19.8041 19.32994 0.4800234
1237661068190417599 187.231256031382 13.758604218492 25.0886 21.48252 20.05954 19.30829 18.88943 0.3876029
1237661068190482537 187.391834571572 13.7748205542202 19.23513 18.08894 17.38198 16.93704 16.70997 0.09895116
