objid ra dec u g r i z redshift
1237667253474099720 172.318375583308 28.958840074596 25.56416 24.27868 20.73741 19.56155 18.96834 0.6180456
1237667253473968296 172.020835075293 28.8230311987698 19.30441 17.33153 16.44656 16.01656 15.67224 0.0871121
1237667253474033754 172.110425224596 28.7347133150723 19.23013 17.75467 16.96584 16.60654 16.28954 0.1065659
1237667210524623038 172.531822397142 28.7201596008358 19.6732 18.28181 17.35882 16.88572 16.57958 0.1901733
1237667210524688472 172.58660877308 28.7623474148356 20.59399 18.68554 17.68526 17.22116 16.84546 0.1627745
1237667211061297275 171.957242181629 28.9609956093061 23.07971 20.62462 18.93066 18.28877 17.97173 0.3305185
1237667253473968276 171.979177668303 28.8921347815899 18.2109 17.07166 16.78786 16.55863 16.43384 0.02239594
1237667253474230295 172.663406345211 28.8736092019262 21.59136 19.06615 17.7136 17.2321 16.90595 0.2039943
1237667253474230467 172.721735881115 28.9939441809046 22.42822 20.65112 19.00947 18.31486 17.939 0.4250952
1237667254010904657 172.078064860551 29.2045784635902 20.77073 18.81199 17.63051 17.1219 16.78295 0.1979626
1237667210524427047 172.052143036727 28.627939819518 22.83616 21.58219 19.75273 18.93404 18.51834 0.4492881
1237667210524622968 172.421515322511 28.6010570229692 20.00249 17.81809 16.68592 16.21795 15.86197 0.1380854
1237667210524492454 172.18712453418 28.6540536909692 23.92328 22.583 21.09244 20.02225 19.48772 0.5669438
1237667210524623636 172.557703108565 28.6977572000001 22.78734 21.88216 20.29741 19.05857 18.64894 6.603447
1237667210524688776 172.592141529397 28.6046039823073 24.01729 22.35737 20.86831 19.76986 19.28883 0.6042559
1237667210524689166 172.708304591743 28.728526291603 25.2469 21.46068 20.14814 19.15018 18.80925 0.5774299
1237667210524754263 172.738678616862 28.7741680475029 26.05204 22.29873 20.83674 19.76042 19.41387 0.5525456
1237667211061428523 172.280660037618 28.994730732068 22.02849 21.4494 21.02478 20.27885 19.7021 0.786102
1237667211061428780 172.256997700649 28.9640337017853 22.62564 21.70245 20.18126 19.14033 18.50403 0.5594361
1237667211061494096 172.366097569493 29.071714558704 22.38036 21.10816 20.19024 19.51118 19.29453 0.4500607
1237667211061559470 172.675478654401 29.126729740473 19.52634 18.05901 17.27933 16.90648 16.62136 0.141477
1237667253473902735 171.824657787438 28.876755002372 22.14817 20.62099 18.97472 18.35901 18.01719 0.3306518
1237667253474033874 172.219162346943 28.9387602180532 21.93931 20.04402 18.30124 17.71096 17.32504 0.3290658
1237667253474099757 172.333430275917 28.9283139952202 23.26018 21.92638 20.24741 19.23612 18.69372 0.5683831
1237667253474099762 172.352235885111 28.7903339556508 23.91936 21.58185 20.52629 19.69806 19.59243 0.5413721
1237667253474164830 172.477035152509 28.8494952754204 19.17632 18.22091 17.8271 17.46627 17.34584 0.09627169
1237667253474230677 172.707217962156 28.9240211102996 25.11171 22.39148 20.79224 19.82504 19.24229 0.53653
1237667254010904974 172.082026116336 29.3620385642233 24.5717 21.83558 20.25812 19.30288 18.87903 0.5027518
1237667254010970372 172.206291868242 29.295279840959 22.03622 21.2944 20.31021 19.43464 19.09706 0.6236687
1237667254010970432 172.221537523126 29.3780687436782 23.09626 21.21132 19.7749 19.00114 18.52716 0.4106646
1237667254011035771 172.355546338862 29.388416646824 26.23884 20.7665 19.07908 18.35918 17.94822 0.3736226
1237667254011167112 172.77660268595 29.3252442336383 24.8065 21.94542 20.38734 19.3314 18.76563 0.5785505
1237667210524426879 172.014585211091 28.5192799707321 22.67831 21.25499 19.5069 18.81565 18.2667 0.4116236
1237667210524426900 172.014414083834 28.5678217466253 22.87769 23.03514 21.28139 20.07415 19.61711 0.6440601
1237667210524491869 172.15424482677 28.7372051202225 19.74535 18.47512 17.74379 17.36112 17.09053 0.1381117
1237667210524492323 172.161780437607 28.5440858068129 24.26878 22.91608 21.01937 19.96236 19.47836 0.5678251
1237667210524492337 172.156350929599 28.6207758180161 23.86244 22.27081 20.64006 19.99437 19.67166 0.4526378
1237667210524492405 172.171777333116 28.664060269843 26.3999 21.57243 20.09984 19.10058 18.58371 0.540352
1237667210524492416 172.181881641944 28.6146402285472 23.05713 21.8561 20.84212 20.07751 19.56239 0.5693926
1237667210524557401 172.276209295166 28.694279891164 20.00688 18.49272 17.54914 17.09443 16.75642 0.1864373
1237667210524557411 172.31317453996 28.6542387463117 21.17759 18.92075 17.70047 17.21444 16.83304 0.1695712
1237667210524557439 172.366607178588 28.7571747140597 19.16786 17.28798 16.41137 16.019 15.70177 0.08121064
1237667210524557462 172.280026027192 28.7032181229766 21.32803 19.66786 18.23195 17.67412 17.25328 0.2986048
1237667210524557740 172.266834930963 28.6253421398573 25.04859 22.09962 20.32503 19.37958 19.00451 0.510812
1237667210524557757 172.278970769112 28.5682817879106 26.09894 21.24437 19.52591 18.79792 18.4213 0.4231072
1237667210524557899 172.323662895429 28.6149071557189 21.83907 21.25319 20.51119 19.63565 19.6401 0.6178327
1237667210524623133 172.468116142484 28.6816047297951 19.59844 18.34866 17.76344 17.4484 17.24593 0.08827783
1237667210524623353 172.442047268291 28.709632728255 23.34658 22.21326 20.45273 19.39924 19.08583 0.5868375
1237667210524688766 172.593427469587 28.5802445101533 21.84376 20.90363 19.76507 19.05744 18.70846 0.503861
1237667210524689217 172.738140481578 28.6076982005877 26.10532 22.72364 21.1507 19.90195 19.6031 0.585929
1237667210524753987 172.760102218575 28.6160675080453 19.83322 17.97009 16.9737 16.48897 16.08135 0.1058954
1237667210524753995 172.759819422013 28.6655403154496 18.82233 17.70547 17.10125 16.7469 16.53285 0.1318021
1237667210524754344 172.783043183242 28.679232266159 25.97357 21.82904 20.39577 19.43351 19.11736 0.5230765
1237667210524754831 172.880967532822 28.7990135487996 25.21581 22.60235 20.46253 19.32795 18.7296 0.6095983
1237667211061428667 172.193470604823 29.1405868150623 22.59652 21.23159 19.50216 18.71748 18.35611 0.4563393
1237667211061428860 172.257787821095 29.1659938076305 26.17333 21.35746 19.64839 18.83214 18.41793 0.4524109
1237667211061428881 172.263841820636 29.1666449423601 22.80286 21.32817 20.01325 19.06297 18.77487 0.5652193
1237667211061560054 172.664152204338 29.2088693715706 24.59757 22.64602 20.81855 19.60869 19.28428 0.630663
1237667211061625663 172.728672010448 29.2025533689469 25.24487 23.21056 21.3982 19.99963 19.40647 0.6865299
1237667211598168945 171.930494998266 29.3568323750424 23.65553 22.49633 21.05248 19.65495 19.05049 0.6925397
1237667211598364713 172.303904439447 29.5049136595433 19.13554 17.79911 17.26677 16.91947 16.73222 0.07384413
1237667252937097331 172.123812172804 28.4723953659036 20.7577 18.77868 17.62661 17.17305 16.79301 0.1642436
