objid ra dec u g r i z redshift
1237661950255300654 186.638360528992 12.7429675611442 17.28591 15.42393 14.66164 14.28126 13.93746 0.004329188
1237661950255235597 186.599840782842 12.7496350153116 21.95342 22.09064 20.2431 19.15868 18.68874 0.5783205
1237661950255300969 186.639463337072 12.7732756075049 22.34559 20.87705 19.22326 18.30941 17.80558 0.4957452
1237661812812415016 186.600270531478 12.6650046793511 23.74962 19.56472 18.46087 17.54415 17.36833 0.25657
1237661950255235222 186.610660320123 12.7775266457824 18.8814 17.4567 16.78949 16.41011 16.13619 0.0935717
1237661950255235588 186.594207719176 12.7865507529549 19.52507 17.83129 17.25391 16.96482 17.01122 -0.0005363628
1237661950255300761 186.671216720725 12.7869418504576 21.27067 19.83138 18.67703 18.29037 18.15328 0.1939028
1237661949718298846 186.454633974318 12.4175696434204 22.17663 21.28162 19.42045 18.6867 18.22433 0.4388886
1237661950255235541 186.574596476456 12.7938481176678 21.97795 21.42713 20.5383 19.73908 19.64261 0.5870529
1237661950255431735 186.95672105556 12.8771571571249 18.0119 17.01535 16.67872 16.48178 16.46408 0.04253878
1237658630231884318 186.268459060366 12.7524011716318 25.604 21.72264 19.95478 18.88087 18.36304 0.5567407
1237661812812284339 186.272765725318 12.6587326589185 25.9276 21.71236 20.1139 19.25678 18.8244 0.4408634
1237661812812546194 186.861180652236 12.6020854091687 23.6164 21.77253 19.69716 19.02413 19.72553 0.4672163
1237661812812611809 186.985868199624 12.6309586382894 22.99453 22.16558 20.89245 20.02635 19.28605 0.5365785
1237658629695013215 186.234433469216 12.3637878530556 22.96049 21.28753 19.38873 18.75558 18.36458 0.3628733
1237658629695013293 186.262337534779 12.367583437001 21.98232 21.7892 20.30288 19.29169 18.70751 0.5048102
1237658629695013749 186.273885736326 12.3288293731529 26.05007 22.77362 20.69257 19.62065 19.06852 0.6348386
1237658629695013838 186.330496533344 12.3174775677614 24.76993 23.04709 20.79361 19.61869 19.0522 0.6328666
1237658629695144061 186.613788893343 12.304784493099 20.09748 18.12579 17.13973 16.7271 16.38177 0.1156092
1237658629695144132 186.576035229465 12.1954087351951 21.87314 20.20673 18.58777 17.99655 17.68612 0.3124138
