objid ra dec u g r i z
1237651328250675402 114.546470066485 38.8743771020066 12.89842 11.84565 11.21763 10.80399 10.61701
1237651272953626778 114.515473001625 38.8902592817498 20.01193 18.14393 17.43246 17.07158 16.92857
1237651272953626743 114.507946282755 38.8876181268311 20.06095 17.63455 16.52255 16.02469 15.78119
1237651272953626794 114.490972679319 38.8848731334835 20.49294 19.04898 17.791 17.39487 17.21871
1237651328250675413 114.520360138137 38.8639962504373 21.79716 22.14928 20.62302 16.93551 18.58484
1237651328250675668 114.593645092316 38.8613027308322 25.49184 23.54098 22.46623 21.76161 21.79793
1237651328250676143 114.491735859536 38.8449541606998 23.85558 22.46552 22.05994 21.2189 20.6961
1237651328250676152 114.492704342525 38.8467156106304 23.92156 22.34418 21.88887 21.43093 21.65613
1237651328250676153 114.490811293571 38.8482867906861 23.78854 21.54303 21.42509 21.0772 20.76564
1237651328250676156 114.523402280492 38.8370161376022 23.89092 22.08026 21.515 21.27819 20.8031
1237651328250676159 114.495021053254 38.8501981780808 26.9094 24.88508 19.32509 19.51265 18.3382
1237651328250676160 114.49445180789 38.8489241848458 25.00468 22.77627 23.54373 23.89439 22.1698
1237651328250676204 114.571845467353 38.8412900337407 21.64052 21.393 20.00098 20.33739 19.77157
1237651328250741259 114.597410549352 38.8853006684375 23.80317 22.43062 23.13418 22.4231 23.13682
1237651328250741383 114.596948483771 38.8696718493024 25.65297 21.85529 23.92019 23.18797 23.10503
1237651328250741395 114.590403263341 38.8747675477994 22.8368 22.91056 22.45259 21.86007 21.56808
1237651328250741405 114.592559521771 38.8791346985899 23.67782 21.83315 21.8495 21.68786 20.77572
1237651328250741870 114.594551458186 38.8843696742717 24.969 23.15844 22.66447 21.28784 20.91095
1237651272953626773 114.534103748178 38.9335348154155 19.22653 17.34325 16.50239 16.11891 15.83136
1237651272953627327 114.474678125763 38.8466256620039 23.58238 22.22525 21.64313 21.7613 21.03883
1237651328250675313 114.523354024107 38.8292276428391 22.12939 21.14683 24.80286 24.36161 22.82726
1237651328250675450 114.578302128623 38.8337343702819 20.429 20.40551 19.91081 19.53779 22.90319
1237651328250675482 114.589163156907 38.8462465336099 24.0358 24.11554 22.39851 21.46514 21.01627
1237651328250675602 114.488492896331 38.8418622975053 24.7228 22.75153 23.40446 23.15372 22.55582
1237651328250675618 114.530050482951 38.830393518073 23.84989 22.62083 23.32809 23.11093 22.10174
1237651328250675871 114.570843432045 38.8368273180503 24.70981 22.81903 21.64572 21.70106 22.44108
1237651328250675881 114.58837198456 38.8398019662153 22.03128 20.68909 20.48097 20.39224 20.06924
1237651328250676145 114.488038516043 38.847050882885 26.14962 22.58023 22.21544 22.2921 21.55925
1237651328250676166 114.546288768173 38.8276850132827 23.87608 22.81403 22.0029 21.80072 21.25912
1237651328250676172 114.559315794308 38.8256382842365 22.85935 22.66937 23.05392 23.39348 22.65821
1237651328250676197 114.570320474679 38.8388633417021 22.28289 21.97797 21.05307 21.52737 20.39206
1237651328250676207 114.58287305147 38.8377405387285 22.61454 22.2599 22.11186 21.92377 21.36886
1237651328250676214 114.581294592734 38.8410767244894 22.31523 21.60509 20.99703 20.53742 20.29881
1237651328250676242 114.590879519029 38.8533593989889 22.3497 20.7495 19.76254 19.26013 18.74772
1237651328250676492 114.481819567704 38.8402893318143 25.79168 24.25381 22.94357 21.80368 21.75717
1237651328250741158 114.5959430779 38.9185271988931 23.91196 22.65001 23.49501 22.00747 22.38217
1237651328250741160 114.592379451249 38.9201715134779 24.5808 24.79917 25.56681 25.07979 20.24991
1237651328250741184 114.612231239827 38.8793510537209 21.67771 19.71453 18.58055 18.0849 17.71963
1237651328250741243 114.609061731285 38.8653242727229 20.87459 20.30579 19.56657 19.40549 18.8182
1237651328250741290 114.602483783573 38.9078032762828 21.58741 20.39075 20.446 20.4691 20.45451
1237651328250741399 114.602307306159 38.8717707799099 24.3679 22.90276 23.68734 21.92978 22.57161
1237651328250741427 114.600038821873 38.8833014150159 22.93863 21.75406 24.49906 21.71106 21.07339
1237651328250741438 114.606153465045 38.892800542524 21.14448 20.79804 27.13973 20.81204 20.122
1237651328250741455 114.599428919301 38.9101165178856 25.85041 20.90481 26.05774 22.86512 20.47063
1237651328250741468 114.574158394897 38.9265583247452 23.04015 22.21727 21.84539 21.92706 21.63832
1237651328250741469 114.571034905388 38.927878770834 24.62878 22.50871 21.84116 23.13336 21.23086
1237651328250741473 114.590540083395 38.9207517526018 23.27536 22.34143 22.17753 21.84249 21.52432
1237651328250741479 114.590465362677 38.9231306087362 22.79163 21.94305 23.68631 23.62705 23.55777
1237651328250741855 114.601570335088 38.868740870383 23.25707 23.04604 22.36041 21.11108 20.2744
1237651328250741883 114.607977261948 38.8890661681334 24.90587 22.51838 23.01942 20.81648 20.00946
1237651272953626726 114.450995323649 38.8789107633404 8.580892 19.20971 7.195967 7.217661 7.303354
1237651272953626739 114.451912846185 38.8801667158251 24.63451 15.38006 15.46112 15.03519 22.82676
1237651272953626742 114.452576586777 38.8769292460069 24.93837 15.1503 13.74381 13.28299 23.21848
1237651272953626745 114.449931097546 38.8774274018224 24.63727 14.55713 14.92792 12.75357 22.82725
1237651272953626768 114.446483487006 38.8761174833823 17.48608 25.75033 16.365 25.12588 15.44037
1237651272953626770 114.455747629796 38.8815497474391 17.0079 25.46191 16.00507 15.50582 14.93121
1237651272953626796 114.454460765827 38.8750278507615 16.13672 25.12711 24.82202 24.36748 15.8967
1237651272953626797 114.446555698474 38.8832783249338 24.63458 25.11319 16.81045 15.1527 22.82653
1237651272953626970 114.542168673608 38.9513014454497 23.09038 20.95518 21.19219 20.90607 20.22655
1237651272953626972 114.544967673963 38.9502723222645 24.16222 24.4382 22.82751 21.83699 21.57777
1237651272953626974 114.536494182051 38.9475792312136 24.8491 22.59584 24.49106 23.85957 23.36358
1237651272953626975 114.532624122235 38.9494918783962 25.35835 23.66363 24.27538 22.48294 23.51504
1237651272953627090 114.500257143466 38.9469095200271 23.63099 21.6917 22.41983 23.34027 24.38604
1237651272953627102 114.504392434895 38.952630868436 25.36045 23.05763 24.79203 25.13981 21.4292
1237651272953627199 114.508313083123 38.9462315883254 24.88622 21.96964 21.444 21.21506 21.79388
1237651272953627254 114.522136597118 38.9421666784251 25.45349 22.14637 21.10958 20.68534 20.36998
1237651272953627300 114.465840287806 38.831667787516 22.25658 21.72874 21.16932 20.89779 21.48992
1237651272953627325 114.461053983498 38.8512765095077 26.78787 21.54352 21.15404 21.44589 20.50902
1237651272953627326 114.470739122997 38.8473424061084 24.59722 22.1723 22.083 21.81318 20.82838
1237651272953627438 114.475216153408 38.936072000678 25.7235 21.97072 21.60353 21.36621 22.25303
1237651272953627460 114.503800549963 38.9402995618445 24.54009 22.17943 21.66366 21.54692 21.26288
1237651272953627464 114.49598225253 38.9487546861585 25.39067 23.6606 22.03105 21.15185 20.53422
1237651272953627467 114.505035771278 38.943146786539 22.65745 22.30794 21.74997 21.76281 21.45837
1237651272953627481 114.517432227532 38.9480878379559 22.86126 21.77347 20.8409 20.64323 20.7722
1237651272953627499 114.546118817792 38.9440882313897 25.68069 22.73574 22.42321 22.46624 21.80643
1237651272953627628 114.531523841999 38.9422346950896 24.89098 22.77662 22.20689 22.41385 21.7523
1237651272953627636 114.549969566863 38.9445131923518 22.86217 22.76637 21.32901 20.34395 20.01657
1237651272953627718 114.518731201642 38.9514063923449 23.35136 24.10661 22.60218 21.23995 20.62039
1237651272953627737 114.453413698468 38.8463918174155 23.5191 22.50545 22.66237 21.96125 23.64333
1237651272953692761 114.538924383578 38.9557992394804 23.44899 21.5869 20.57489 19.94655 19.47934
1237651328250675444 114.595628040404 38.823725390498 23.47561 21.9571 20.65336 20.16329 19.75511
1237651328250675774 114.537609873524 38.8185351010846 25.10608 22.15485 21.02443 20.40292 20.08047
1237651328250675833 114.517428381188 38.8209616763876 23.21035 22.00471 21.3825 20.93125 21.85035
1237651328250675887 114.610121479024 38.8413066861195 24.77718 23.29759 21.41442 20.60569 20.31134
1237651328250675898 114.606706262945 38.8479702416273 24.88037 22.23964 21.23641 20.02506 19.21243
1237651328250676120 114.479760074813 38.8380727558079 22.55095 21.63139 21.14212 20.79503 21.01978
1237651328250676125 114.534663608118 38.8157373919994 24.54391 22.33817 21.93616 22.77032 22.21783
1237651328250676135 114.547203068009 38.8150971757243 22.11204 22.01493 20.69911 20.17777 19.57187
1237651328250676138 114.562375319794 38.8119996559388 22.83758 22.30833 22.36142 21.93902 21.58266
1237651328250676142 114.553447596413 38.8153277952781 24.03811 25.54011 20.70731 25.64459 21.61036
1237651328250676191 114.590339828239 38.8248819755158 22.91804 22.52059 21.96051 21.07289 20.41063
1237651328250676205 114.594680090937 38.8317862505089 22.21935 21.74532 22.2648 21.63074 21.34711
1237651328250676213 114.600667998495 38.832023088277 23.86462 22.73961 21.25742 20.50933 19.6299
1237651328250676217 114.596718211683 38.8358188832652 24.86846 21.48764 20.93234 20.77755 20.5337
1237651328250676341 114.487303332708 38.8312222969583 24.09863 22.86235 21.26278 20.54924 19.73714
1237651328250676347 114.541614724212 38.8213808057842 23.53219 22.25447 21.35476 20.86622 20.17248
1237651328250676356 114.58844361114 38.8194165178431 23.95756 23.32925 23.64058 20.9717 21.26121
1237651328250676516 114.56188386504 38.8243879225271 24.88464 22.35504 21.00253 20.22947 20.60749
1237651328250676518 114.57571482466 38.8194095770186 23.52093 22.69077 23.58596 21.48639 21.01038
1237651328250676523 114.576258802964 38.8228488450562 26.05736 23.64206 21.93757 20.33725 19.90825
1237651328250676524 114.574197226371 38.82277105652 25.22838 25.05731 22.71383 21.00926 21.29285
1237651328250676557 114.620623524015 38.8509206089693 25.6979 23.39914 22.27459 21.35494 22.1336
1237651328250741028 114.608498648579 38.9219753571302 24.24122 21.84844 21.44321 21.09274 21.32559
1237651328250741034 114.566099351609 38.9497821595581 25.99392 24.8399 22.04379 21.40875 22.79788
1237651328250741153 114.629872969207 38.88488107449 23.8639 22.61745 21.87596 21.46618 22.73041
1237651328250741186 114.614591294754 38.8772047913929 24.29592 23.45395 22.4106 22.54912 22.26029
1237651328250741280 114.612677243282 38.8940486026681 21.38133 20.31682 20.38101 20.39085 20.56125
1237651328250741281 114.610885619837 38.8953506294434 24.96902 22.56073 21.77895 21.60201 21.53471
1237651328250741288 114.619161597689 38.8996094891916 21.86549 20.54364 20.72359 20.70082 21.06429
1237651328250741295 114.627314432145 38.8992137406935 21.65416 20.42434 20.48536 20.63483 20.55451
1237651328250741311 114.571029693528 38.9459291681866 23.78125 24.23277 21.3704 20.45695 20.08163
1237651328250741414 114.612835247208 38.8742671773506 23.64775 22.25215 23.71637 22.27566 21.67279
1237651328250741428 114.62815243141 38.8734551782878 22.67463 21.53897 20.83392 20.52044 20.18442
1237651328250741451 114.616213839463 38.8990781380332 24.23757 21.63833 21.2338 20.94343 20.75877
1237651328250741452 114.615602786805 38.8999496524211 24.24208 25.12964 25.74043 22.12258 22.42027
1237651328250741459 114.603469919416 38.910786853623 25.58425 21.62409 23.87628 20.96211 22.81474
1237651328250741460 114.605406534454 38.9082373785916 23.44599 21.91406 23.42563 23.13561 23.87205
1237651328250741467 114.612703393116 38.9079070146801 23.04653 22.69531 21.79402 20.96672 21.37089
1237651328250741494 114.58297911808 38.931374786045 23.44167 22.48358 21.70856 21.62673 22.29001
1237651328250741505 114.574743753486 38.9371735816144 25.03311 22.28102 21.97948 22.14268 22.41801
1237651328250741512 114.600646269841 38.9272419023489 23.75629 22.01372 21.40134 21.57485 21.22896
1237651328250741523 114.608370116214 38.9273483031251 22.4364 22.70924 22.25739 21.94823 21.82801
1237651328250741525 114.592631412892 38.9352001465896 24.63052 22.65183 22.81308 22.03093 21.6944
1237651328250741526 114.596444422699 38.9342257494188 23.01819 20.978 20.32261 19.89163 19.51577
1237651328250741530 114.586911329875 38.9371421137074 22.43331 21.68402 21.25464 21.01028 20.36879
1237651328250741535 114.588130425089 38.9398168562775 26.63889 22.42925 21.43631 22.3649 21.30952
1237651328250741549 114.589736394772 38.9419562837554 22.03587 21.15689 20.49779 20.20019 19.73279
1237651328250741786 114.583566133849 38.9452533385027 25.605 22.55171 21.23269 20.47309 20.1431
1237651328250741852 114.611496703999 38.8633207478122 23.00101 22.22294 21.67451 20.64867 20.19293
1237651328250741898 114.625894672707 38.9048941474767 23.82134 23.49035 22.43354 20.80365 19.80069
1237651328250741901 114.612391184556 38.9153025745247 24.12319 22.98572 23.38772 21.77759 21.11809
1237651328250741905 114.623182693744 38.9110534368492 24.27612 22.68662 21.9443 21.44983 20.92232
1237651328250742052 114.621336875365 38.8968346564766 20.55871 19.8283 28.84494 18.90626 17.76017
1237651495754400444 114.517696231215 38.815321444157 21.38143 20.27429 20.18901 19.72962 19.19253
1237651495754400840 114.517008743286 38.8095392560588 22.70585 21.05956 20.13062 19.69854 19.3158
1237651495754400841 114.489129024405 38.8217775231961 24.6047 22.58092 22.93655 22.44754 21.68704
1237651495754400847 114.509642617407 38.814934860891 22.31619 22.4327 21.32477 20.63778 20.33859
1237651495754400851 114.500931288534 38.8199491199078 23.91297 22.31833 21.59082 21.42418 21.80137
