objid ra dec u g r i z redshift
1237665178446463685 211.879261417189 28.6986440640288 22.63679 22.17767 20.50751 19.50978 19.09321 0.4490508
1237665429706506420 210.923929701596 28.2422055945185 18.84993 17.85748 17.48627 17.18198 17.06016 0.07379179
1237665178446069877 210.892231543595 28.7989323472134 21.2805 19.11549 17.82121 17.23451 16.94646 0.2236046
1237665178446463085 211.904887606695 28.6566633539828 24.56925 23.62447 21.30603 20.14678 19.71692 0.559446
1237665329325605364 211.65990240039 28.9488390511889 23.89367 21.79469 20.25393 19.15877 18.73144 0.5465816
1237665429706506922 210.893265992435 28.2717045360911 24.89158 22.62142 20.83278 19.86554 19.35012 0.5133833
1237665429706768484 211.497728472334 28.0628328851731 20.18401 18.57242 17.85378 17.4912 17.24716 0.07339428
1237665430243311812 210.842763986437 28.7030953325284 19.74689 18.20201 17.73883 17.45153 17.29035 0.06445824
1237665430243311869 210.811439747584 28.563546187584 23.47618 20.17012 18.50033 17.90226 17.56273 0.3262779
1237665178446135708 210.94172876178 28.9172659442125 25.24599 21.75281 20.27684 19.42492 18.98419 0.5421423
1237665178446135711 210.927974985799 28.8631910671466 21.9848 20.90516 19.18495 18.56966 18.25113 0.3370997
1237665329325473869 211.258494436535 29.0593801516937 19.51939 18.36917 17.61969 17.23936 17.00176 0.1615672
1237665329325605071 211.718669845149 28.9411066741778 21.05081 18.77941 17.48011 16.96764 16.61879 0.20773
1237665329325605420 211.683797010589 28.95360610647 22.54054 22.37532 20.44797 19.47714 18.93784 0.5211671
1237665429706506371 210.853833409629 28.2924634472256 18.74811 17.69692 17.38599 17.1658 17.0778 0.06824587
1237665429706571951 210.967532252896 28.1678300032726 19.24706 18.08869 17.69159 17.37675 17.25655 0.07951257
1237665429706768488 211.492811968332 28.0409788756055 20.46592 18.53539 17.38816 16.89072 16.58979 0.1649728
1237665430243770832 211.919563271902 28.4117840033997 22.03989 21.00784 19.17406 18.5036 18.19665 0.3860542
1237665443132866735 211.802079185635 28.2024130289856 21.65085 20.02234 18.16655 17.52915 17.11618 0.3867446
1237665178446200957 211.255168562371 28.8479885385329 18.79001 17.77994 17.40156 17.1089 16.98723 0.1113137
1237665178446201398 211.176672766552 28.6773001850502 24.54077 23.12111 21.76736 21.11128 20.5806 9.786717e-05
1237665178446201415 211.225428064879 28.8323413940134 26.88035 21.41671 19.78236 19.00972 18.58052 0.4476218
1237665178446266487 211.278313627416 28.6663694848622 20.32542 18.46893 17.3599 16.89266 16.54786 0.1658006
1237665178446266986 211.255621228088 28.6651477131769 24.93975 21.80498 20.15359 19.06298 18.40547 0.5366515
1237665178446267268 211.39733723239 28.7588801414034 24.75498 22.20451 20.63106 19.81741 19.36573 0.4483028
1237665178446267319 211.441122717514 28.8367689143444 22.74421 21.73797 20.09846 19.30046 18.88301 0.446817
1237665178446267591 211.428093286209 28.8362210675563 22.43655 22.51348 20.68196 19.678 19.1886 0.5439854
