objid ra dec u g r i z
1237665442056700148 205.470681128465 28.4117696969313 16.76736 15.68469 15.58111 15.54505 15.53121
1237665442056700147 205.473139300877 28.4237894170906 16.70982 15.539 15.56322 15.59618 15.65164
1237665442056700160 205.462202119673 28.409161427628 17.34264 16.17796 15.91258 15.7744 15.77141
1237665442056700175 205.467073235626 28.4180136084976 19.00001 17.7591 17.22509 16.96884 16.89855
1237665442056831114 205.641911346892 28.3848403387626 18.11306 16.96841 16.39309 16.08564 15.99288
1237665442056831118 205.640532363134 28.3872625079574 18.43649 17.17725 16.6247 16.34052 16.26379
1237665442056700165 205.466800568606 28.4254100896888 18.24964 16.92023 16.323 16.05856 15.93219
1237665442056700167 205.463641111541 28.4155113935358 18.33123 17.70124 18.68139 16.39995 16.53411
1237665442056700169 205.477697532362 28.4438307279811 18.61385 17.34567 16.81184 16.56221 16.46801
1237665442056700176 205.472383575652 28.4298315741763 19.13731 17.93075 17.36196 17.07746 17.0135
1237665442056700178 205.468102234024 28.429650059195 19.25511 18.02652 17.48736 17.23083 17.1524
1237665442056700183 205.468036496396 28.4377968225039 19.32682 18.09892 17.60347 17.35592 17.29812
1237665442056700186 205.453756990119 28.4187245969855 19.52556 18.22775 17.75468 17.50418 17.4448
1237665442056700139 205.474234622288 28.443914928489 16.81311 14.94133 14.15511 16.2781 13.62751
1237665442056700161 205.442653578456 28.4138898591611 18.10795 16.74687 16.1819 15.92111 15.80654
1237665442056700172 205.47863625642 28.449719573941 18.89053 17.6216 17.13878 16.87971 16.79132
1237665442056700174 205.45359991457 28.4255764378981 18.88836 17.61964 17.09981 16.83501 16.77749
1237665442056700180 205.47817045771 28.4475229620973 19.26517 18.07961 17.59166 17.36586 17.27208
1237665442056700185 205.466864612327 28.4380051427401 19.44564 18.24721 17.73028 17.43622 17.36189
1237665442056700189 205.478417723566 28.4511705467198 19.5295 18.24875 17.76857 17.53864 17.47205
1237665442056700191 205.458391949563 28.4413333037383 19.5 18.33583 17.82662 17.56393 17.51101
1237665442056831097 205.661836734824 28.3918401637231 16.58912 14.93177 14.28091 15.89202 13.71946
1237665442056831106 205.657425920914 28.3837583982358 16.79585 15.66403 15.58593 15.52198 15.53907
1237665442056831107 205.661309112832 28.379894490215 16.92872 15.80985 15.59037 15.4408 15.44331
1237665442056831109 205.655257900618 28.3888705597181 17.07544 15.92048 15.63977 15.45513 15.42844
1237665442056831112 205.647999843157 28.4107227732505 17.83819 16.48924 15.93614 15.66191 15.54448
1237665442056831117 205.654877230749 28.3823128525729 18.4888 17.19521 16.56345 16.2414 16.17101
1237665442056831135 205.657800865621 28.3807933195919 19.80235 18.7579 18.22948 17.98278 17.96397
1237665428630667478 205.419685402792 28.4057008041381 19.73383 18.68909 18.30779 18.14945 18.17867
1237665428630667480 205.420262826535 28.3992682779986 19.5593 18.59164 18.24061 18.13792 18.15742
1237665428630667507 205.417626051162 28.3694729262292 20.05571 19.11093 18.78318 18.69667 18.7314
1237665428630667529 205.421937567384 28.3979918336692 20.31559 19.39392 19.08725 18.92185 19.21643
1237665428630667537 205.420097289334 28.3952962664557 20.36744 19.42256 19.12966 18.97949 19.1792
1237665442056700137 205.440686584057 28.4165775494976 16.54874 14.91301 14.42075 14.74338 12.43145
1237665442056700140 205.434410008745 28.4346598608155 16.52138 14.74928 14.70443 14.61916 13.36049
1237665442056700142 205.436019900509 28.4390495399292 17.17475 15.62932 14.97744 14.6724 14.53173
1237665442056700144 205.478231506045 28.4644395633817 16.29371 15.10978 15.24637 15.30225 15.35588
1237665442056700145 205.445954682886 28.4294371835184 17.53908 16.0228 15.39375 15.09495 14.98077
1237665442056700162 205.482959795242 28.4682444460561 17.40041 16.24004 16.03692 15.93917 15.94085
1237665442056700171 205.450962170304 28.4323552625302 18.90105 17.60028 17.10002 16.84717 16.77131
1237665442056700184 205.430029496836 28.4242663195197 19.37621 18.13228 17.65144 17.46643 17.35723
1237665442056700192 205.440988555708 28.4216873390561 19.50251 18.28662 17.76538 17.55055 17.49902
1237665442056700200 205.478518779136 28.4594068299322 19.73333 18.51711 18.04104 17.82964 17.80701
1237665442056700201 205.43798885515 28.4268797422705 19.6767 18.54454 18.11122 17.84311 17.87087
1237665442056700203 205.450496526631 28.4561863990061 19.65385 18.66046 18.17696 17.9245 17.88041
1237665442056700206 205.458193100415 28.4422391036978 19.80334 18.65674 18.25391 18.02481 18.00637
1237665442056700207 205.44919966817 28.4452003831285 19.55182 18.68123 18.27803 18.07328 18.10861
1237665442056831111 205.655970116104 28.4327282841868 17.82587 16.36274 15.80696 15.50569 15.39883
1237665442056831113 205.668497074764 28.3917341083986 18.20793 16.82368 16.30629 16.03498 15.94045
1237665442056831116 205.677419152884 28.3829218170399 19.06995 17.30951 16.50435 16.12423 15.96145
1237665442056831123 205.649283441707 28.4299845894053 19.02229 17.68695 17.20053 16.93424 16.86899
1237665442056831125 205.673308425252 28.394254399297 19.2084 17.98744 17.47134 17.21781 17.15169
1237665442056831128 205.664427822304 28.4105254126695 25.43364 20.25904 18.81493 17.62509 17.04732
1237665442056831134 205.671420596741 28.4111486093001 19.77707 18.59479 18.15522 17.91694 17.88419
1237665442056831139 205.665338105922 28.4052852054521 19.80548 18.66508 18.17771 17.97725 18.03417
1237665442056831146 205.651628570418 28.4349457151311 21.37079 25.11804 24.80176 24.3607 17.97888
1237665428630667455 205.402707059062 28.3826134327245 16.30341 15.10442 14.54498 14.37823 14.30931
1237665428630667461 205.408322945375 28.4092839888149 17.33522 16.21221 15.90743 15.80561 15.77029
1237665428630667464 205.408597775041 28.3713721486289 18.19955 16.76424 16.16769 15.98903 15.91801
1237665428630667467 205.411053032215 28.4015687245868 18.42315 17.19197 16.60817 16.38454 16.28481
1237665428630667470 205.403151727266 28.3825924126078 20.51091 25.11438 24.80202 18.8826 22.82689
1237665428630667471 205.408625574795 28.4018591396299 19.45106 18.26249 17.76851 17.55925 17.51202
1237665428630667479 205.404886342581 28.3648779600852 19.78069 18.73013 18.41915 18.27901 18.2241
1237665428630667489 205.404878176261 28.3595275311982 19.94468 18.95455 18.72848 18.588 18.57755
1237665428630667491 205.414166704121 28.3627327130986 19.84942 18.91486 18.60353 18.49825 18.52087
1237665428630667492 205.411936355344 28.3644063383576 21.55634 19.93574 18.96655 18.48277 18.24642
1237665428630667494 205.412828450389 28.3756952638723 20.03736 19.03683 18.76348 18.63907 18.71696
1237665428630667500 205.410105050624 28.3821646511693 19.95232 19.04289 18.72144 18.60909 18.67183
1237665428630667503 205.403695679785 28.3644453103933 19.96802 19.02056 18.81255 18.69226 18.71133
1237665428630667514 205.41426550548 28.3776966793433 20.10667 19.13511 18.85501 18.7353 18.76346
1237665428630667518 205.415270918303 28.3979259827262 20.20147 19.26305 18.94816 18.813 18.96575
1237665428630667521 205.410690136726 28.4107122425427 20.39854 19.37744 19.02656 18.87282 18.8921
1237665428630667526 205.413571873186 28.4003627179732 20.22848 19.29489 18.99346 18.8695 19.01236
1237665428630667533 205.408576523355 28.3884641036344 20.37601 19.39511 19.11018 18.98996 18.99002
1237665428630667538 205.413387779386 28.3963233129428 20.40932 19.41895 19.12301 18.96978 19.09118
1237665428630667735 205.411042646133 28.352388272804 17.64915 16.24837 15.60929 15.35223 15.2216
1237665428630667739 205.412842691148 28.3524002958487 19.83947 18.91459 18.59771 18.5011 18.47105
1237665428630667740 205.410224462493 28.3363501997974 20.414 19.45304 19.08635 18.95838 18.92555
1237665428630667744 205.412451678291 28.3482990103274 21.41568 20.45845 24.80196 20.2499 21.00969
1237665428630667747 205.411901051757 28.3484153181562 24.63501 20.58728 20.13975 19.73246 22.82705
1237665428630667748 205.413062472927 28.3506434270225 21.53286 20.64134 20.96969 20.73657 20.31599
1237665428630667752 205.410389362834 28.3389597553079 21.17205 20.35616 20.02912 19.91708 19.87737
1237665428630667754 205.408306340403 28.3545497318007 21.5998 20.44422 20.23476 20.03258 19.88111
1237665428630667756 205.411640935343 28.3375207214721 21.65804 20.53379 20.20295 20.02399 20.06673
1237665428630667761 205.410323455121 28.34907745549 21.76369 25.10764 24.80247 20.4727 22.82849
1237665428630667762 205.412550884477 28.3546330795415 22.21483 21.39839 21.11048 20.97333 21.27701
1237665428630667765 205.41146082292 28.3503528798968 22.64122 22.218 21.48044 24.3618 21.05254
1237665428630667778 205.409088326127 28.3544133144131 23.96047 23.02999 21.65192 21.22177 22.55076
1237665428630667779 205.412533904922 28.3404375260504 23.44118 22.22728 21.58347 21.39292 22.06816
1237665428630667780 205.412349643478 28.3395910772725 23.68868 22.66521 21.64917 21.30861 21.92315
1237665428630667782 205.41270906132 28.3475573281931 24.66461 22.6664 21.81817 21.77453 21.89656
1237665428630667789 205.412345620782 28.3453193681242 24.3424 24.67542 22.8527 23.0633 21.78472
1237665428630668605 205.409011411209 28.3453445386059 20.68683 19.7189 19.44807 19.36449 19.3104
1237665428630668607 205.407214421632 28.3449341955863 21.21125 20.29684 19.99171 19.85266 19.97848
1237665428630668612 205.410342318636 28.3454575520522 24.0635 22.27471 21.71677 21.44895 21.57522
1237665428630669906 205.407157718215 28.3571679837869 22.51576 21.43039 21.32409 20.89758 20.88422
1237665428630669924 205.41053257208 28.357991847052 24.86555 22.97251 22.70819 21.99676 21.69295
1237665442056700138 205.441544346336 28.4547972607119 14.79664 14.13573 13.24033 13.10141 9.362783
1237665442056700156 205.437863824498 28.4440878654756 16.89351 15.68218 15.76173 15.81804 15.8968
1237665442056700166 205.441949900218 28.4596433471901 18.34219 17.00356 16.41896 16.10743 16.04564
1237665442056700177 205.470146651455 28.4736014092976 19.11108 17.82422 17.3481 17.11805 17.00085
1237665442056700194 205.431047591288 28.4499502254356 23.86582 20.97189 19.10218 17.59339 16.81475
1237665442056700210 205.480100550089 28.4800480332008 19.73076 18.6627 18.29836 18.11486 18.07602
1237665442056831102 205.688526782221 28.3781399860012 16.09582 14.97694 15.15458 15.24906 15.33843
1237665442056831104 205.684054548455 28.3858053610885 17.60411 16.10185 15.4837 15.14663 15.03416
1237665442056831108 205.686304171659 28.3960320188981 16.81674 15.66923 15.53653 15.42621 15.44944
1237665442056831121 205.655639653242 28.4579333910527 18.67662 17.352 16.86267 16.60055 16.51682
1237665442056831127 205.681752673662 28.3836622330944 19.28765 18.08279 17.59126 17.35201 17.30199
1237665442056831131 205.688251357366 28.3770330447755 19.60774 18.46814 17.94539 17.7477 17.71071
1237665442056831138 205.677077299779 28.4083846281638 19.32641 18.31119 18.21644 18.27644 18.32909
1237665442056831559 205.663968259274 28.4506796439795 21.17658 20.07676 19.80348 19.65716 19.60124
1237665442056831560 205.662659518623 28.4511739565297 22.05729 20.78685 20.36409 20.16429 20.45567
