objid ra dec u g r i z
1237648721252188491 229.01960271789 -0.112644030210996 21.5982 20.5314 20.22284 20.05163 20.06946
1237648721252188499 229.025246050077 -0.110459038125658 21.93082 20.6657 20.3242 20.21475 20.38656
1237648721252188433 229.023789465635 -0.115928437264232 18.91828 17.63256 17.31882 17.1859 17.14828
1237648721252188437 229.027107316261 -0.108493903676729 19.46098 18.09731 17.54195 17.30251 17.22278
1237648721252188439 229.020030650377 -0.107673739946963 19.8783 18.40972 17.76618 17.49335 17.37452
1237648721252188463 229.024682258781 -0.114746072975725 21.35904 20.46267 19.99458 19.82817 19.9009
1237648721252188430 229.027187191256 -0.11693358798917 18.94379 16.92336 16.12036 15.7814 15.59734
1237648721252188455 229.021378259966 -0.1173893707638 24.35125 21.38934 19.93543 19.24192 18.90364
1237648721252188489 229.028833937304 -0.106398584838103 21.72475 20.57279 20.22259 20.12528 20.28203
1237648721252188500 229.015112718452 -0.112878960349711 21.57066 20.54907 20.18116 20.0098 20.28161
1237648721252188507 229.013559888808 -0.108622393748343 22.10659 20.81661 20.49829 20.37042 20.43257
1237648721252188514 229.026099359352 -0.10706382998906 17.04555 15.83116 15.3827 15.23833 15.1826
1237648721252190097 229.016960789994 -0.104750284459583 22.49999 21.41521 21.12419 21.02295 21.0428
1237648721252188434 229.013166246165 -0.121244888309028 21.95268 19.46389 18.03665 17.03524 16.47822
1237648721252188438 229.015050710857 -0.121378613093792 19.832 18.26499 17.60641 17.34601 17.19786
1237648721252188447 229.014144487893 -0.103697429109431 25.03802 21.51287 19.98369 18.79513 18.17164
1237648721252188449 229.023534966416 -0.101304612404523 20.63641 19.50483 19.34234 19.32272 19.25871
1237648721252188450 229.012422394499 -0.110102518980999 21.29214 19.94476 19.34751 19.13461 19.10128
1237648721252188454 229.020127167189 -0.122839771925451 21.35166 19.95008 19.41943 19.20479 19.09636
1237648721252188460 229.022869681267 -0.102407164198433 21.57178 20.46353 19.93696 19.75387 19.89039
1237648721252188476 229.02504131717 -0.122193041270341 21.41608 20.35842 19.9764 19.84246 19.83352
1237648721252188485 229.011024755982 -0.11853176798163 21.69717 20.5396 20.14895 19.98204 19.92513
1237648721252188486 229.031047424184 -0.105400499845507 21.80077 20.60565 20.18135 20.13236 19.94395
1237648721252189288 229.026296356544 -0.0996755271689633 24.44048 22.99981 22.93101 22.168 23.18295
1237648721252190964 229.032211523279 -0.113331737602863 23.16574 22.28965 21.67914 21.58564 22.23501
1237648721252190982 229.034886916646 -0.112974502941051 23.65214 22.78597 22.39616 23.43974 21.8918
1237648721252190983 229.033987428568 -0.112533970868818 24.02273 22.88791 22.70148 22.24065 22.00349
1237648721252188428 229.004638545456 -0.107307714000965 15.49355 13.97959 13.37685 13.16407 13.09049
1237648721252188446 229.007611680774 -0.102165095841144 23.40281 20.85493 19.39736 18.5952 18.16601
1237648721252188448 229.037606163557 -0.108536512715784 20.90482 19.60676 19.04029 18.82677 18.71172
1237648721252188457 229.009009750519 -0.108526544261429 23.07033 20.20134 19.85122 19.58826 19.34358
1237648721252188459 229.008515863938 -0.117001828265517 21.38212 20.175 19.8518 19.72532 19.75348
1237648721252188466 229.040285385795 -0.109889999226411 21.7449 20.52927 20.03782 19.90515 19.94772
1237648721252188472 229.008040709065 -0.116664197410051 22.00654 21.19442 20.89159 20.75401 20.61937
1237648721252188473 229.007734250264 -0.117579241774774 21.76654 20.5335 20.02286 19.88137 19.81455
1237648721252188474 229.008376155663 -0.108545946249617 21.63084 20.78204 24.8971 25.04684 19.87161
1237648721252188481 229.021070453232 -0.128535394306445 21.61088 20.44253 19.98734 19.80132 19.71736
1237648721252188483 229.036193588025 -0.116246252526505 21.74834 20.50919 20.14297 20.02137 19.91917
1237648721252188487 229.034984929489 -0.124060320643761 21.83815 20.58097 20.21479 20.09141 20.06597
1237648721252188490 229.037427783974 -0.116053656999874 22.02382 20.76853 20.25647 20.17351 20.08792
1237648721252188493 229.031138049261 -0.100882453609268 21.68021 20.63169 20.30383 20.19187 20.19545
1237648721252188495 229.033682144027 -0.104580103285365 21.81231 20.75026 20.34214 20.27404 20.39804
1237648721252188496 229.031348002819 -0.126168205053178 21.94252 20.70363 20.38449 20.2405 20.13902
1237648721252188498 229.023087158774 -0.127621817091795 21.66825 21.82593 20.45634 20.34758 20.07408
1237648721252188501 229.018200507166 -0.0967552319550435 21.71594 20.62771 20.32358 20.17629 20.11512
1237648721252188506 229.020026838166 -0.129683849894183 21.92842 20.86295 20.55498 20.48104 20.55518
1237648721252189241 229.016296888055 -0.125231670001927 21.21614 20.16116 19.82216 19.71099 19.75243
