objid ra dec u g r i z
1237668355109617849 259.369873833849 43.1674568507424 16.54155 15.14248 14.52398 14.27416 14.11508
1237668355109617871 259.363352160189 43.178509667739 19.31978 18.29011 17.98169 17.8977 17.91101
1237668355109617850 259.376272157798 43.1666829645334 15.90753 14.84483 14.48298 14.38119 14.34314
1237668355109617872 259.37268503781 43.1710069765329 19.51654 18.61517 18.2922 18.21937 18.30467
1237668355109617881 259.370322309871 43.1719141203393 20.52135 25.11438 20.37196 19.23388 19.60669
1237668355109683315 259.383743912758 43.1498898408033 20.15874 18.93013 18.72784 19.28819 22.82684
1237668355109617851 259.359336035121 43.1951727215135 16.19726 14.97951 14.85478 14.85068 14.82751
1237668355109617856 259.367977153643 43.1800595157534 16.83102 16.36907 16.67908 16.9641 17.19977
1237668355109617857 259.387757238142 43.1666504592536 17.87931 16.71742 16.2156 16.02827 15.93768
1237668355109617868 259.387473727928 43.1558576894152 19.16066 18.20266 17.84369 17.75466 17.74605
1237668355109683278 259.396026378828 43.1410855290455 17.56402 16.2862 15.87438 15.7308 15.70721
1237668355109683285 259.388840529688 43.1424607666143 18.41946 17.30007 16.85117 16.64272 16.56404
1237668355109683299 259.387327846252 43.1413926069646 19.24545 18.24802 17.98646 17.85445 17.90598
1237668355109617845 259.341133789661 43.2172572174886 15.65409 14.65988 14.56488 14.24005 13.35762
1237668355109617848 259.373007327647 43.2041153862396 16.42448 14.98715 14.36693 14.11571 13.9593
1237668355109617852 259.360565884693 43.1973134968957 17.13178 15.64839 15.13974 15.01178 14.96631
1237668355109617853 259.401456996953 43.1588358992973 16.51555 15.39967 15.61002 15.81138 15.92832
1237668355109617855 259.389038520804 43.1779072951246 17.72583 16.57592 16.06845 15.86921 15.77983
1237668355109617864 259.390535741457 43.1895852249786 18.99797 17.97354 17.52468 17.37002 17.33658
1237668355109617869 259.405235824267 43.1642430247289 19.17935 18.26197 17.97228 17.9133 17.94703
1237668355109683273 259.404169723557 43.1127037188903 16.54532 15.17433 14.60195 14.32299 14.19252
1237668355109683276 259.404154061961 43.1309961853633 16.5652 15.68019 15.97435 16.18701 16.3375
