objid,type,ra,dec,u,g,r,i,z,redshift
1237654670273085455,STAR,151.366072423206,0.0712192264207298,22.92664,19.81081,18.31491,16.74024,15.88559,Null
1237654670273085456,STAR,151.376850286103,0.0697434777455712,20.68613,18.50849,17.61987,17.2786,17.13025,Null
1237654670273085457,STAR,151.381493800155,0.0713168437414612,21.12591,18.80796,17.82602,17.44064,17.22286,Null
1237654670273085458,STAR,151.37832336098,0.067266963450618,21.22374,19.0064,18.10201,17.72441,17.52119,Null
1237654670273085460,STAR,151.392399003754,0.0747268494208747,22.75344,20.38908,18.97764,18.19298,17.85298,Null
1237654670273085461,STAR,151.387786587234,0.0761654614713545,21.73801,19.70925,18.84676,18.53374,18.43503,Null
1237654670273085462,STAR,151.386915592525,0.0766428859591595,21.6333,19.71418,19.01131,18.7063,18.57787,Null
1237654670273085463,STAR,151.382663458637,0.0711859797579007,21.50601,19.70885,19.0533,18.72654,18.59801,Null
1237654670273085464,STAR,151.388297748635,0.0657899822515396,21.58615,19.91948,19.1721,18.84082,18.70199,Null
1237654670273085466,STAR,151.385758839132,0.0755844733235554,21.97993,20.24455,19.55824,19.23221,19.29562,Null
1237654670273085468,STAR,151.374591679782,0.0816025979585608,22.06474,20.37515,19.73466,19.49535,19.42686,Null
1237654670273085475,STAR,151.382605287144,0.0736451708851219,22.76848,22.34002,24.80179,24.36184,19.78653,Null
1237654670273085477,STAR,151.369809724727,0.0695694088445725,24.78263,24.52876,26.99301,26.53777,20.15315,Null
1237654670273085480,STAR,151.373473981005,0.0699055399027652,19.97065,19.50082,25.7846,25.12768,23.68405,Null
1237654670273085492,STAR,151.371989694134,0.0735091802477783,23.19282,22.71964,22.15339,21.501,22.82759,Null
1237654670273085493,STAR,151.383575743275,0.0712369590513944,25.01849,22.06952,21.29219,21.09822,20.80288,Null
1237654670273085497,STAR,151.376465808521,0.0674327822845871,23.42967,22.11971,21.65439,21.36606,21.07767,Null
1237654670273085500,STAR,151.378944855156,0.0700679403098734,23.83568,22.38355,22.01531,21.42838,21.26358,Null
1237654670273085507,STAR,151.382077956013,0.0721016466153351,22.79042,22.10474,21.53883,21.64484,20.8602,Null
1237654670273085513,STAR,151.380471583233,0.0761570703745929,23.63207,23.03421,22.30735,21.83681,22.37212,Null
1237654670273085518,STAR,151.378313609963,0.0732821594755387,23.53163,23.14391,22.21861,21.94388,22.03106,Null
1237654670273085819,STAR,151.37596633846,0.0603603708024329,22.33082,20.61041,19.9329,19.60932,19.63095,Null
